secID,ticker,secShortName,cnSpell,exchangeCD,assetClass,listStatusCD,listDate,transCurrCD,ISIN,partyID
002500.XSHE,002500,山西证券,SXZQ,XSHE,E,L,2010-11-15,CNY,CNE100000WJ0,26537.0
002501.XSHE,002501,利源精制,LYJZ,XSHE,E,L,2010-11-17,CNY,CNE100000WP7,39010.0
002502.XSHE,002502,骅威股份,HWGF,XSHE,E,L,2010-11-17,CNY,CNE100000WQ5,39193.0
002503.XSHE,002503,搜于特,SYT,XSHE,E,L,2010-11-17,CNY,CNE100000WR3,39361.0
002504.XSHE,002504,弘高创意,HGCY,XSHE,E,L,2010-11-18,CNY,CNE100000WT9,33322.0
002505.XSHE,002505,大康牧业,DKMY,XSHE,E,L,2010-11-18,CNY,CNE100000WV5,39233.0
002506.XSHE,002506,协鑫集成,XXJC,XSHE,E,L,2010-11-18,CNY,CNE100000WW3,34805.0
002507.XSHE,002507,涪陵榨菜,FLZC,XSHE,E,L,2010-11-23,CNY,CNE100000WX1,39382.0
002508.XSHE,002508,老板电器,LBDQ,XSHE,E,L,2010-11-23,CNY,CNE100000WY9,39258.0
002509.XSHE,002509,天广消防,TGXF,XSHE,E,L,2010-11-23,CNY,CNE100000WZ6,39360.0
002510.XSHE,002510,天汽模,TQM,XSHE,E,L,2010-11-25,CNY,CNE100000X28,37568.0
002511.XSHE,002511,中顺洁柔,ZSJR,XSHE,E,L,2010-11-25,CNY,CNE100000X36,39232.0
002512.XSHE,002512,达华智能,DHZN,XSHE,E,L,2010-12-03,CNY,CNE100000XN0,39484.0
002513.XSHE,002513,蓝丰生化,LFSH,XSHE,E,L,2010-12-03,CNY,CNE100000XP5,39383.0
002514.XSHE,002514,宝馨科技,BXKJ,XSHE,E,L,2010-12-03,CNY,CNE100000XQ3,39381.0
002515.XSHE,002515,金字火腿,JZHT,XSHE,E,L,2010-12-03,CNY,CNE100000XR1,39458.0
002516.XSHE,002516,旷达科技,KDKJ,XSHE,E,L,2010-12-07,CNY,CNE100000X93,39501.0
002517.XSHE,002517,泰亚股份,TYGF,XSHE,E,L,2010-12-07,CNY,CNE100000XB5,39502.0
002518.XSHE,002518,科士达,KSD,XSHE,E,L,2010-12-07,CNY,CNE100000XC3,38583.0
002519.XSHE,002519,银河电子,YHDZ,XSHE,E,L,2010-12-07,CNY,CNE100000XD1,39555.0
002520.XSHE,002520,日发精机,RFJJ,XSHE,E,L,2010-12-10,CNY,CNE100000XJ8,19161.0
002521.XSHE,002521,齐峰新材,QFXC,XSHE,E,L,2010-12-10,CNY,CNE100000XK6,38397.0
002522.XSHE,002522,浙江众成,ZJZC,XSHE,E,L,2010-12-10,CNY,CNE100000XL4,39589.0
002523.XSHE,002523,天桥起重,TQQZ,XSHE,E,L,2010-12-10,CNY,CNE100000XM2,35038.0
002524.XSHE,002524,光正集团,GZJT,XSHE,E,L,2010-12-17,CNY,CNE100000XY7,39700.0
002526.XSHE,002526,山东矿机,SDKJ,XSHE,E,L,2010-12-17,CNY,CNE100000Y01,39742.0
002527.XSHE,002527,新时达,XSD,XSHE,E,L,2010-12-24,CNY,CNE100000Y43,38189.0
002528.XSHE,002528,英飞拓,YFT,XSHE,E,L,2010-12-24,CNY,CNE100000Y50,39701.0
002529.XSHE,002529,海源机械,HYJX,XSHE,E,L,2010-12-24,CNY,CNE100000Y68,33321.0
002530.XSHE,002530,丰东股份,FDGF,XSHE,E,L,2010-12-31,CNY,CNE100000YG2,38190.0
002531.XSHE,002531,天顺风能,TSFN,XSHE,E,L,2010-12-31,CNY,CNE100000YH0,39767.0
002532.XSHE,002532,新界泵业,XJBY,XSHE,E,L,2010-12-31,CNY,CNE100000YJ6,39741.0
002533.XSHE,002533,金杯电工,JBDG,XSHE,E,L,2010-12-31,CNY,CNE100000YK4,39946.0
002534.XSHE,002534,杭锅股份,HGGF,XSHE,E,L,2011-01-10,CNY,CNE100000YT5,39766.0
002535.XSHE,002535,林州重机,LZZJ,XSHE,E,L,2011-01-11,CNY,CNE100000YX7,39876.0
002536.XSHE,002536,西泵股份,XBGF,XSHE,E,L,2011-01-11,CNY,CNE100000YY5,39891.0
002537.XSHE,002537,海立美达,HLMD,XSHE,E,L,2011-01-10,CNY,CNE100000YV1,39960.0
002538.XSHE,002538,司尔特,SET,XSHE,E,L,2011-01-18,CNY,CNE100000Z42,36117.0
002539.XSHE,002539,新都化工,XDHG,XSHE,E,L,2011-01-18,CNY,CNE100000Z59,39943.0
002540.XSHE,002540,亚太科技,YTKJ,XSHE,E,L,2011-01-18,CNY,CNE100000Z67,39791.0
002541.XSHE,002541,鸿路钢构,HLGG,XSHE,E,L,2011-01-18,CNY,CNE100000Z75,40099.0
002542.XSHE,002542,中化岩土,ZHYT,XSHE,E,L,2011-01-28,CNY,CNE100000ZV8,40138.0
002543.XSHE,002543,万和电气,WHDQ,XSHE,E,L,2011-01-28,CNY,CNE100000ZT2,40205.0
002544.XSHE,002544,杰赛科技,JSKJ,XSHE,E,L,2011-01-28,CNY,CNE100000ZS4,40065.0
002545.XSHE,002545,东方铁塔,DFTT,XSHE,E,L,2011-02-11,CNY,CNE100000ZX4,40039.0
002546.XSHE,002546,新联电子,XLDZ,XSHE,E,L,2011-02-11,CNY,CNE100000ZY2,40217.0
002547.XSHE,002547,春兴精工,CXJG,XSHE,E,L,2011-02-18,CNY,CNE100001047,39678.0
002548.XSHE,002548,金新农,JXN,XSHE,E,L,2011-02-18,CNY,CNE100001054,40305.0
002549.XSHE,002549,凯美特气,KMTQ,XSHE,E,L,2011-02-18,CNY,CNE100001062,36250.0
002550.XSHE,002550,千红制药,QHZY,XSHE,E,L,2011-02-18,CNY,CNE100001070,40064.0
002551.XSHE,002551,尚荣医疗,SRYL,XSHE,E,L,2011-02-25,CNY,CNE1000010G6,40119.0
002552.XSHE,002552,宝鼎重工,BDZG,XSHE,E,L,2011-02-25,CNY,CNE1000010H4,40207.0
002553.XSHE,002553,南方轴承,NFZC,XSHE,E,L,2011-02-25,CNY,CNE1000010J0,40389.0
002554.XSHE,002554,惠博普,HBP,XSHE,E,L,2011-02-25,CNY,CNE1000010K8,39257.0
